ID,ホスト名,IPアドレス
1622,nakp4060.ccmaster,133.101.182.32
1623,srkp3030.ccmaster,133.101.182.232
1624,srkp3040.ccmaster,133.101.182.233
1625,srkp3050.ccmaster,133.101.182.234
1626,srkp3060.ccmaster,133.101.182.235
1628,tckp4020.ccmaster,133.101.183.144
1629,tckp4030.ccmaster,133.101.183.145
1640,nbkp2010.ccmaster,133.101.182.50
1641,nbkp3020.ccmaster,133.101.182.51
1642,nbkp3030.ccmaster,133.101.182.52
1643,nbkp3040.ccmaster,133.101.182.53
1644,nbkp3060.ccmaster,133.101.182.54
1645,nbkp3070.ccmaster,133.101.182.55
1646,nbkp3080.ccmaster,133.101.182.56
1647,nbkp3090.ccmaster,133.101.182.57
1648,nbkp3100.ccmaster,133.101.182.58
1649,nbkp4010.ccmaster,133.101.182.59
1650,nbkp4020.ccmaster,133.101.182.60
1651,nbkp4030.ccmaster,133.101.182.61
1652,nbkp4050.ccmaster,133.101.182.62
1653,nbkp4060.ccmaster,133.101.182.63
1654,nbkp4070.ccmaster,133.101.182.64
1655,nbkp4080.ccmaster,133.101.182.65
1656,nekp1020.ccmaster,133.101.182.66
1657,nekp1030.ccmaster,133.101.182.67
1658,nekp1040.ccmaster,133.101.182.68
1659,nekp1060.ccmaster,133.101.182.69
1660,nekp1070.ccmaster,133.101.182.70
1661,nekp1080.ccmaster,133.101.182.71
1662,bykp4050.ccmaster,133.101.182.72
1663,bykp4060.ccmaster,133.101.182.73
1664,nbkp2050.ccmaster,133.101.182.74
1665,nbkp2030.ccmaster,133.101.182.75
1666,nbkp2040.ccmaster,133.101.182.76
1667,mvkp0001.ccmaster,133.101.182.211
1668,mvkp0002.ccmaster,133.101.182.212
1669,srkp2020.ccmaster,133.101.182.222
1670,srkp2030.ccmaster,133.101.182.223
1671,sgkp2010.ccmaster,133.101.182.96
1672,sgkp2020.ccmaster,133.101.182.97
1673,sgkp2030.ccmaster,133.101.182.98
1674,sgkp2040.ccmaster,133.101.182.99
1675,sgkp2050.ccmaster,133.101.182.100
1676,sgkp2060.ccmaster,133.101.182.101
1677,sgkp2150.ccmaster,133.101.182.102
1678,sgkp2160.ccmaster,133.101.182.103
1679,sgkp2170.ccmaster,133.101.182.104
1680,sgkp2180.ccmaster,133.101.182.105
1681,sgkp2190.ccmaster,133.101.182.106
1682,sgkp3010.ccmaster,133.101.182.107
1683,sgkp3020.ccmaster,133.101.182.108
1684,sgkp3030.ccmaster,133.101.182.109
1685,sgkp3040.ccmaster,133.101.182.110
1686,sgkp3050.ccmaster,133.101.182.111
1687,sgkp3060.ccmaster,133.101.182.112
1688,sgkp3070.ccmaster,133.101.182.113
1689,sgkp3080.ccmaster,133.101.182.114
1690,sgkp3090.ccmaster,133.101.182.115
1691,sgkp3100.ccmaster,133.101.182.116
1692,sgkp3110.ccmaster,133.101.182.117
1693,sgkp3120.ccmaster,133.101.182.118
1694,sgkp3130.ccmaster,133.101.182.119
1695,sgkp3140.ccmaster,133.101.182.120
1696,sgkp3150.ccmaster,133.101.182.121
1697,sgkp4010.ccmaster,133.101.182.122
1698,sgkp4020.ccmaster,133.101.182.123
1699,sgkp4030.ccmaster,133.101.182.124
1700,sgkp4040.ccmaster,133.101.182.125
1701,sgkp4050.ccmaster,133.101.182.126
1702,sgkp4060.ccmaster,133.101.182.127
1703,sgkp4070.ccmaster,133.101.182.128
1704,sgkp4080.ccmaster,133.101.182.129
1705,sgkp4100.ccmaster,133.101.182.130
1706,sgkp4110.ccmaster,133.101.182.131
1707,sgkp4120.ccmaster,133.101.182.132
1708,sgkp4130.ccmaster,133.101.182.133
1709,sgkp4140.ccmaster,133.101.182.134
1710,sgkp4150.ccmaster,133.101.182.135
1711,sgkp5010.ccmaster,133.101.182.136
1712,sgkp5020.ccmaster,133.101.182.137
1713,sgkp5030.ccmaster,133.101.182.138
1714,sgkp5040.ccmaster,133.101.182.139
1715,sgkp5050.ccmaster,133.101.182.140
