ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
1821,54015663E,4,5,S406教室,1702,40:c2:ba:47:08:c6,a0:d3:65:44:7f:a5,,1,13,10,1,0,,2024-00733(099),2,9
1822,54015182E,4,5,S407教室,1703,40:c2:ba:46:d4:4b,a0:d3:65:22:19:7e,,1,13,10,1,0,,2024-00733(100),2,9
1823,54015335E,4,5,S408教室,1704,40:c2:ba:46:f7:5a,a0:d3:65:5b:00:63,,1,13,10,1,0,,2024-00733(101),2,9
1824,54015301E,4,5,S413教室,1708,40:c2:ba:46:f7:6c,a0:d3:65:45:95:e8,,1,13,10,1,0,,2024-00733(102),2,9
1825,54015240E,4,5,S414教室,1709,40:c2:ba:47:08:f8,a0:d3:65:45:84:22,,1,13,10,1,0,,2024-00733(103),2,9
1826,54015226E,4,5,S415教室,1710,40:c2:ba:46:d4:47,a0:d3:65:22:0e:7f,,1,13,10,1,0,,2024-00733(104),2,9
1827,54015290E,4,6,S501教室,1711,40:c2:ba:46:f7:1e,a0:d3:65:45:95:2a,,1,13,10,1,0,,2024-00733(105),2,9
1828,54015136E,4,6,S502教室,1712,40:c2:ba:46:f7:b6,a0:d3:65:5a:ff:f0,,1,13,10,1,0,,2024-00733(106),2,9
1829,54015156E,4,6,S503教室,1713,40:c2:ba:46:f7:b0,a0:d3:65:79:4f:37,,1,13,10,1,0,,2024-00733(107),2,9
1830,54015162E,4,6,S504教室,1714,40:c2:ba:47:08:de,a0:d3:65:22:18:fc,,1,13,10,1,0,,2024-00733(108),2,9
1831,54015143E,4,6,S505教室,1715,40:c2:ba:46:f7:91,a0:d3:65:79:51:7b,,1,13,10,1,0,,2024-00733(109),2,9
1832,54015128E,4,6,S506教室,1716,40:c2:ba:46:f7:a5,a0:d3:65:79:4f:7d,,1,13,10,1,0,,2024-00733(110),2,9
1833,54015119E,4,6,S507教室,1717,40:c2:ba:46:f7:5b,a0:d3:65:79:61:ca,,1,13,10,1,0,,2024-00733(111),2,9
1834,54015141E,12,4,開発作業室,2181,40:c2:ba:47:08:dc,a0:d3:65:5b:01:3a,2024/11/19 元sgkp5080，映像出力のアナログ変換不可で回収,1,13,8,1,0,,2024-00733(033),2,9
1835,54015131E,4,6,S509教室,1719,40:c2:ba:46:f7:84,a0:d3:65:79:61:d4,,1,13,10,1,0,,2024-00733(113),2,9
1836,54015666E,4,6,S510教室,1720,bc:ec:a0:3f:17:b4,a0:d3:65:49:cb:45,,1,13,10,1,0,,2024-00733(114),2,9
1837,54015236E,4,6,S511教室,1721,40:c2:ba:47:08:b5,a0:d3:65:45:96:79,,1,13,10,1,0,,2024-00733(115),2,9
1838,54015129E,4,6,S512教室,1722,40:c2:ba:46:f7:a6,a0:d3:65:79:4f:41,,1,13,10,1,0,,2024-00733(116),2,9
1839,54015338E,4,6,S513教室,1971,40:c2:ba:46:f7:aa,a0:d3:65:5b:01:2b,,1,13,10,1,0,,2024-00733(117),2,9
