ID,シリアルナンバー,設置建屋,階,設置場所,ホスト情報,MACアドレス,無線MACアドレス,備考,所属,機種,種別,OS起動種別,貸出PC用MACグループ,情セ管理番号,大学管財番号,4階層図用種別,ベンダー
967,54015643E,12,4,情報センター,872,40:c2:ba:46:f7:26,a0:d3:65:44:8c:9d,渡邉さん,1,13,8,3,0,,2024-00733(040),,9
969,54015186E,12,4,情報センター,874,40:c2:ba:46:d4:22,a0:d3:65:22:0e:5c,石堂さん，マウスあり,1,13,8,3,0,,2024-00733(042),,9
970,54015197E,12,4,情報センター,882,40:c2:ba:b8:ac:3a,a0:d3:65:22:0d:f3,,1,13,8,3,0,,2024-00733(043),,9
993,54015212E,12,4,情報センター,871,40:c2:ba:47:08:d1,a0:d3:65:22:0d:d5,野村さん,1,13,8,3,0,,2024-00733(039),,9
1227,R0102279,12,4,MiCSカウンター,916,68:84:7e:94:84:d7,08:71:90:ed:e6:f8,,1,5,24,2,1,,,2,2
1228,R0102356,12,4,MiCSカウンター,917,68:84:7e:94:89:3c,0c:dd:24:f9:c8:b5,,1,5,24,2,1,,,2,2
1229,R0102317,12,4,MiCSカウンター,918,68:84:7e:94:86:e8,0c:dd:24:f9:d2:c4,,1,5,24,2,1,,,2,2
1230,R0102283,12,4,MiCSカウンター,919,68:84:7e:94:85:10,08:71:90:ee:7a:19,,1,5,24,2,1,,,2,2
1231,R0102321,12,4,MiCSカウンター,920,68:84:7e:94:87:24,0c:dd:24:f9:d2:97,,1,5,24,2,1,,,2,2
1232,R0102282,12,4,MiCSカウンター,921,68:84:7e:94:85:01,08:71:90:ed:ef:18,,1,5,24,2,1,,,2,2
1233,R0102270,12,4,MiCSカウンター,922,68:84:7e:94:84:63,08:71:90:ee:79:65,,1,5,24,2,1,,,2,2
1234,R0102386,12,4,MiCSカウンター,923,68:84:7e:94:89:eb,0c:7a:15:a6:0b:ee,,1,5,24,2,1,,,2,2
1235,R0102344,12,4,MiCSカウンター,924,68:84:7e:94:88:70,0c:dd:24:f9:ca:8b,,1,5,24,2,1,,,2,2
1236,R0102385,12,4,MiCSカウンター,925,68:84:7e:94:89:dc,0c:dd:24:f9:c9:0a,,1,5,24,2,1,,,2,2
1237,R0102292,12,4,開発作業室,926,68:84:7e:94:85:99,08:71:90:ee:79:f1,,1,5,26,2,1,,,2,2
1238,R0102329,12,4,開発作業室,927,68:84:7e:94:87:9c,0c:dd:24:f9:c5:31,,1,5,26,2,1,,,2,2
1239,R0102300,12,4,開発作業室,928,68:84:7e:94:86:08,08:71:90:ed:ed:1f,,1,5,26,2,1,,,2,2
1240,R0102351,12,4,10301教室,929,68:84:7e:94:89:0c,0c:dd:24:f9:81:70,,1,5,25,2,1,,,2,2
1241,R0102328,12,4,10301教室,930,68:84:7e:94:87:8e,0c:dd:24:f9:c5:59,,1,5,25,2,1,,,2,2
1242,R0102284,12,4,10301教室,931,68:84:7e:94:85:1c,08:71:90:ee:7a:00,,1,5,25,2,1,,,2,2
1243,R0102301,12,4,10301教室,932,68:84:7e:94:86:1c,08:71:90:ed:ec:93,,1,5,25,2,1,,,2,2
1244,R0102327,12,4,10301教室,933,68:84:7e:94:87:83,0c:dd:24:f9:c5:86,,1,5,25,2,1,,,2,2
1245,R0102345,12,2,107,934,68:84:7e:94:88:79,0c:dd:24:f9:c4:fa,,1,5,25,2,1,,,2,2
1246,R0102276,12,2,107,935,68:84:7e:94:84:af,08:71:90:ee:79:e2,,1,5,25,2,1,,,2,2
1247,R0102585,12,2,107,936,68:84:7e:94:89:b0,0c:dd:24:f9:c8:0b,BIOS電池切れ1回あり,1,5,25,2,1,,,2,2
1248,R0102274,12,2,107,937,68:84:7e:94:84:92,08:71:90:ee:79:56,,1,5,25,2,1,,,2,2
1249,R0102281,12,2,107,938,68:84:7e:94:84:f3,08:71:90:ee:79:fb,,1,5,25,2,1,,,2,2
1250,R0102333,12,4,開発作業室,939,68:84:7e:94:87:de,0c:dd:24:f9:c9:1e,,1,5,27,2,1,,,2,2
1251,R0102335,12,4,開発作業室,940,68:84:7e:94:87:f9,0c:dd:24:f9:c5:2c,,1,5,27,2,1,,,2,2
1252,R0102330,6,4,実学英語講師控室,2250,68:84:7e:94:87:b0,0c:dd:24:f9:c5:04,元wrpc0026.ccmaster,1,5,8,2,1,,,1,2
1253,R0102293,6,4,実学英語講師控室,2246,68:84:7e:94:85:a7,08:71:90:ed:ed:51,元wrpc0027.ccmaster,1,5,8,2,1,,,1,2
1254,R0102291,9,6,DE＆I推進室長室,2254,68:84:7e:94:85:8b,08:71:90:ee:7a:2d,元wrpc0028.ccmaster,1,5,3,2,1,,,,2
1255,R0102343,12,4,サーバルーム,,68:84:7e:94:88:62,0c:dd:24:f9:c8:7e,電源が入らないため撤去。元真理館CO-OnSen格納PC（wrpc0029.ccmaster）,1,5,8,2,1,,,2,2
1256,R0102295,6,4,実学英語講師控室,2252,68:84:7e:94:85:c6,08:71:90:ee:79:1a,元wrpc0030.ccmaster 予備機,1,5,8,2,1,,,1,2
1257,R0102357,6,4,実学英語講師控室,2248,68:84:7e:94:89:46,0c:dd:24:f9:81:52,元wrpc0031.ccmaster,1,5,8,2,1,,,1,2
1258,R0102354,6,4,実学英語講師控室,2249,68:84:7e:94:89:27,0c:dd:24:f9:c8:d3,元wrpc0032.ccmaster,1,5,8,2,1,,,1,2
1259,R0102355,6,4,実学英語講師控室,2247,68:84:7e:94:89:31,0c:dd:24:f9:c8:a6,元wrpc0033.ccmaster,1,5,8,2,1,,,1,2
1260,R0102286,6,4,実学英語講師控室,2253,68:84:7e:94:85:3c,08:71:90:ee:79:b5,元wrpc0034.ccmaster 予備機,1,5,8,2,1,,,1,2
1261,R0102332,6,4,実学英語講師控室,2251,68:84:7e:94:87:cb,0c:dd:24:f9:c5:45,元wrpc0035.ccmaster,1,5,8,2,1,,,1,2
1262,R0102342,12,4,サーバルーム,951,68:84:7e:94:88:54,0c:dd:24:f9:ca:7c,,1,5,8,2,1,,2020-00121,2,2
1263,R0102319,12,4,サーバルーム,952,68:84:7e:94:87:05,0c:dd:24:f9:d2:51,,1,5,8,1,1,,2020-00122,2,2
1264,R0102285,12,4,サーバルーム,953,68:84:7e:94:85:2d,08:71:90:ee:79:9c,,1,5,8,2,1,,2020-00123,2,2
1265,R0102289,12,4,サーバルーム,954,68:84:7e:94:85:6a,08:71:90:ee:79:c9,,1,5,8,2,1,,2020-00124,2,2
1266,R0102353,12,4,サーバルーム,955,68:84:7e:94:89:1f,0c:dd:24:f9:ca:81,,1,5,8,2,1,,2020-00125,2,2
1267,R0102268,12,4,サーバルーム,956,68:84:7e:94:84:3c,08:71:90:ee:79:ba,,1,5,8,2,1,,2020-00126,2,2
1268,R0102361,12,4,サーバルーム,957,68:84:7e:94:89:81,0c:dd:24:f9:ca:68,,1,5,8,2,1,,2020-00127,2,2
1269,R0102271,12,4,サーバルーム,958,68:84:7e:94:84:72,08:71:90:ee:7a:14,,1,5,8,2,1,,2020-00128,2,2
1270,R0102290,12,4,サーバルーム,959,68:84:7e:94:85:7c,08:71:90:ee:79:ab,,1,5,8,2,1,,2020-00129,2,2
1271,R0102275,12,4,サーバルーム,960,68:84:7e:94:84:a0,08:71:90:ee:79:d3,,1,5,8,2,1,,2020-00130,2,2
1272,R0102352,12,4,サーバルーム,961,68:84:7e:94:89:14,0c:dd:24:f9:c8:c9,,1,5,8,1,1,,2020-00131,2,2
1273,R0102336,12,4,サーバルーム,962,68:84:7e:94:88:0a,0c:dd:24:f9:c5:72,,1,5,8,2,1,,2020-00132,2,2
1274,R0102389,12,4,サーバルーム,963,68:84:7e:94:8a:17,0c:7a:15:a6:0b:71,,1,5,8,2,1,,2020-00133,2,2
1275,R0102311,12,4,サーバルーム,964,68:84:7e:94:86:8b,0c:dd:24:f9:c5:54,,1,5,8,1,1,,2020-00134,2,2
1276,R0102326,12,4,サーバルーム,965,68:84:7e:94:87:75,0c:dd:24:f9:c5:77,,1,5,8,1,1,,2020-00135,2,2
1277,R0102280,12,4,サーバルーム,966,68:84:7e:94:84:e8,08:71:90:ee:7a:28,,1,5,8,1,1,,2020-00136,2,2
1278,R0102302,12,4,サーバルーム,967,68:84:7e:94:86:2b,08:71:90:ed:da:5a,,1,5,8,2,1,,2020-00137,2,2
1279,R0102297,12,4,サーバルーム,968,68:84:7e:94:85:e2,08:71:90:ed:ed:b5,,1,5,8,2,1,,2020-00138,2,2
1280,R0102347,12,4,サーバルーム,969,68:84:7e:94:88:da,0c:dd:24:f9:c9:46,,1,5,8,2,1,,2020-00139,2,2
1281,R0102313,12,4,サーバルーム,970,68:84:7e:94:86:aa,0c:dd:24:fa:45:6a,,1,5,8,1,1,,2020-00140,2,2
1282,R0102341,12,4,サーバルーム,971,68:84:7e:94:88:47,0c:dd:24:f9:c8:c4,,1,5,8,2,1,,2020-00141,2,2
1283,R0102348,12,4,情報センター,972,68:84:7e:94:88:eb,0c:dd:24:f9:c8:ce,2025.10.20 平野課長へ貸出,1,5,8,3,1,,2020-00142,2,2
1284,R0102307,12,4,サーバルーム,973,68:84:7e:94:86:47,0c:dd:24:f9:c9:05,,1,5,8,1,1,,2020-00143,2,2
1285,R0102339,12,4,サーバルーム,974,68:84:7e:94:88:2c,0c:dd:24:f9:c6:62,,1,5,8,2,1,,2020-00144,2,2
1286,R0102337,12,4,サーバルーム,975,68:84:7e:94:88:14,0c:dd:24:f9:c5:68,,1,5,8,2,1,,2020-00145,2,2
1287,R0102324,12,4,サーバルーム,976,68:84:7e:94:87:57,0c:dd:24:f9:c5:0e,,1,5,8,2,1,,2020-00146,2,2
1288,R0102350,12,4,サーバルーム,977,68:84:7e:94:89:01,0c:dd:24:f9:c8:9c,,1,5,8,2,1,,2020-00147,2,2
1289,R0102287,12,4,サーバルーム,978,68:84:7e:94:85:4a,08:71:90:ee:79:a1,,1,5,8,2,1,,2020-00148,2,2
1290,R0102296,12,4,サーバルーム,979,68:84:7e:94:85:d4,08:71:90:ee:79:dd,,1,5,8,2,1,,2020-00149,2,2
1291,R0102388,12,4,サーバルーム,980,68:84:7e:94:8a:08,0c:7a:15:a6:0b:f3,,1,5,8,2,1,,2020-00150,2,2
1292,R0102338,12,4,サーバルーム,981,68:84:7e:94:88:22,0c:dd:24:f9:c6:80,,1,5,8,2,1,,2020-00151,2,2
1293,R0102316,12,4,サーバルーム,982,68:84:7e:94:86:d7,0c:dd:24:f9:c8:74,,1,5,8,2,1,,2020-00152,2,2
1294,R0102309,12,4,サーバルーム,983,68:84:7e:94:86:6a,0c:dd:24:f9:c5:6d,,1,5,8,1,1,,2020-00153,2,2
1295,R0102325,12,4,開発作業室,984,68:84:7e:94:87:67,0c:dd:24:f9:c7:07,2025/4/3 HDMIコネクタ破損,1,5,8,2,1,,2020-00154,2,2
1296,R0102586,12,4,サーバルーム,985,68:84:7e:94:89:c0,0c:dd:24:f9:c9:19,,1,5,8,2,1,,2020-00155,2,2
1297,R0102340,12,4,サーバルーム,986,68:84:7e:94:88:36,0c:dd:24:f9:c5:22,,1,5,8,2,1,,2020-00156,2,2
1298,R0102310,12,4,サーバルーム,987,68:84:7e:94:86:78,0c:dd:24:f9:d2:b5,,1,5,8,2,1,,2020-00157,2,2
1299,R0102358,12,4,サーバルーム,988,68:84:7e:94:89:55,0c:dd:24:f9:ca:72,,1,5,8,2,1,,2020-00158,2,2
1300,R0102387,6,5,共通教育推進機構,2242,68:84:7e:94:89:fa,0c:7a:15:a6:0b:6c,元wrpc0074.ccmaster,1,5,13,3,1,,2020-00159,2,2
1301,R0102587,6,5,共通教育推進機構,2243,68:84:7e:94:89:cd,0c:dd:24:f9:c9:2d,元wrpc0075.ccmaster,1,5,13,3,1,,2020-00160,2,2
1302,R0102306,6,5,共通教育推進機構,2244,68:84:7e:94:86:3a,0c:dd:24:f9:d3:be,元wrpc0076.ccmaster,1,5,13,3,1,,2020-00161,2,2
1303,R0102269,12,4,情報センター,2245,68:84:7e:94:84:5a,08:71:90:ee:79:92,元wrpc0077.ccmaster,1,5,13,3,1,,2020-00162,2,2
1304,R0102278,12,4,サーバルーム,993,68:84:7e:94:85:31,08:71:90:ee:79:6a,タッチパッド動作不良で回収（再現はしなかった）,1,5,8,2,1,,2020-00163,2,2
1305,R0102346,12,4,サーバルーム,994,68:84:7e:94:88:82,0c:dd:24:f9:81:75,,1,5,8,1,1,,2020-00164,2,2
1306,R0102349,12,4,サーバルーム,995,68:84:7e:94:88:f9,0c:dd:24:f9:c8:ec,,1,5,8,2,1,,2020-00165,2,2
1307,R0102334,12,4,情報センター,996,68:84:7e:94:87:ec,0c:dd:24:f9:c5:81,2024/10/19 ローカルブート化して大隅さんに貸出,1,5,8,3,1,,2020-00166,2,2
1308,R0102359,12,4,サーバルーム,997,68:84:7e:94:89:65,0c:dd:24:f9:81:6b,,1,5,8,2,1,,2020-00167,2,2
1309,R0102272,12,4,情報センター,998,68:84:7e:94:84:78,08:71:90:ee:7a:23,,1,5,8,2,1,,2020-00168,2,2
1310,R0102277,12,4,サーバルーム,999,68:84:7e:94:84:be,08:71:90:ee:7a:1e,,1,5,8,1,1,,2020-00169,2,2
1311,R0102299,12,4,情報センター,1000,68:84:7e:94:86:00,08:71:90:ed:ef:40,2024/5/1ローカルブート化して山口さん貸出,1,5,8,3,1,,2020-00170,2,2
1312,R0102308,12,4,サーバルーム,1001,68:84:7e:94:86:5a,0c:dd:24:f9:d2:29,,1,5,8,1,1,,2020-00171,2,2
1313,R0102363,12,4,サーバルーム,1002,68:84:7e:94:89:a2,0c:dd:24:f9:81:48,,1,5,8,1,1,,2020-00172,2,2
1314,R0102273,12,4,情報センター,1003,68:84:7e:94:84:85,08:71:90:ee:79:f6,2023/10/19MiCS検証用に貸出(MiCSカウンター設置，ホスト名：DESKTOP-B8VA8DQ),1,5,8,3,1,,2020-00173,2,2
1315,R0102331,12,4,サーバルーム,1004,68:84:7e:94:87:bc,0c:dd:24:f9:c9:3c,,1,5,8,1,1,,2020-00174,2,2
1316,R0102315,12,4,サーバルーム,1005,68:84:7e:94:86:ca,0c:dd:24:fa:45:33,,1,5,8,2,1,,2020-00175,2,2
1317,R0102362,12,4,情報センター,1006,68:84:7e:94:89:92,0c:dd:24:f9:c8:ba,2024/1～feret1(pandaの後継として流用),1,5,8,3,1,,2020-00176,2,2
1318,R0102294,12,4,情報センター,1007,68:84:7e:94:91:05,08:71:90:ee:7a:0a,2024/1～feret2(pandaの後継として流用),1,5,8,3,1,,2020-00177,2,2
1319,R0102288,12,4,情報センター,1008,68:84:7e:94:85:5a,08:71:90:ed:ed:f1,2024/1～feret3(pandaの後継として流用),1,5,8,3,1,,2020-00178,2,2
1320,R0102298,12,4,情報センター,1009,68:84:7e:94:85:ec,08:71:90:ed:e6:f3,2023/12/21ローカルブート化して大島さんに貸出,1,5,8,3,1,,2020-00179,2,2
1321,R0102323,12,4,サーバルーム,1010,68:84:7e:94:87:4b,0c:dd:24:f9:c6:76,,1,5,8,2,1,,2020-00180,2,2
1322,R0200163,13,2,文化学部事務室前廊下,2095,68:84:7e:95:ac:19,98:af:65:f4:2b:53,,7,5,7,1,0,,,,2
1323,R0200160,13,2,文化学部事務室前廊下,2096,68:84:7e:95:ab:ed,98:af:65:f4:25:d6,,7,5,7,1,0,,,,2
1324,R0200162,13,2,文化学部事務室,2097,68:84:7e:95:ac:0c,98:af:65:f4:97:e1,2025/3/6 学部事務室で使用するよう用途変更,7,5,7,3,0,,,,2
1325,R0200161,13,2,文化学部事務室,2098,68:84:7e:95:ab:ff,98:af:65:f4:25:f4,2023/10/06学部事務室で使用するよう用途変更,7,5,7,3,0,,,,2
1326,R0102312,12,4,開発作業室,845,68:84:7e:94:86:98,0c:dd:24:f9:d2:60,イメージ作成用,1,5,8,1,0,,2020-00115,,2
1327,R0102318,12,4,開発作業室,846,68:84:7e:94:86:f7,0c:dd:24:f9:c5:09,,1,5,8,1,1,,2020-00116,,2
1328,R0102322,12,4,開発作業室,847,68:84:7e:94:87:36,0c:dd:24:f9:c5:4a,,1,5,8,1,1,,2020-00117,,2
1329,R0102360,12,4,開発作業室,2069,68:84:7e:94:89:75,0c:dd:24:f9:c9:41,,1,5,8,1,1,,2020-00118,,2
1330,R0102314,12,4,開発作業室,2070,68:84:7e:94:86:b9,0c:dd:24:f9:d2:42,情報処理教室アプリ導入検証に使用(Windows11),1,5,8,3,1,,2020-00119,,2
1331,R0102320,12,4,開発作業室,2146,68:84:7e:94:87:14,,MiCSの検証等に使用(Windows11)塚本さん所持,1,5,8,3,0,,2020-00120,,2
1535,PF3BJLSK,4,3,S205演習室,1675,84:a9:38:41:9c:20,c8:94:02:7c:9d:b5,,1,9,10,1,0,,2021-02344,2,3
1536,PF3BHSBQ,4,3,S206演習室,1676,84:a9:38:41:9c:44,c8:94:02:7c:a0:d7,,1,9,10,1,0,,2021-02345,2,3
1537,PF3B3EZJ,4,4,S304演習室,1685,84:a9:38:41:a2:dc,c8:94:02:7c:9e:07,,1,9,10,1,0,,2021-02346,2,3
1538,PF3CM46G,4,4,S305演習室,1686,84:a9:38:41:a3:e2,c8:94:02:7c:9d:8d,,1,9,10,1,0,,2021-02347,2,3
1539,PF3B2T9X,4,4,S306演習室,1687,84:a9:38:41:98:48,c8:94:02:7c:61:a3,,1,9,10,1,0,,2021-02348,2,3
1540,PF3BL7GT,4,4,S307演習室,1688,84:a9:38:41:a3:f4,c8:94:02:7c:a0:e3,,1,9,10,1,0,,2021-02349,2,3
1541,PF3BJNMM,4,4,S308演習室,1689,84:a9:38:41:a3:b0,c8:94:02:7c:a7:77,,1,9,10,1,0,,2021-02350,2,3
1542,PF3BJJL1,4,4,S309演習室,1690,6c:24:08:a1:91:ea,c8:94:02:7c:9d:71,2022/7/7 マザーボード交換,1,9,10,1,0,,2021-02351,2,3
1543,PF3BHJES,4,4,S310演習室,1691,84:a9:38:41:90:a2,c8:94:02:7c:a1:17,,1,9,10,1,0,,2021-02352,2,3
1544,PF3B3F1J,4,4,S311演習室,1692,84:a9:38:38:ed:10,c8:94:02:7c:9d:a5,,1,9,10,1,0,,2021-02353,2,3
1545,PF3BHMWB,4,5,S410大学院演習室,1705,84:a9:38:41:91:e0,c8:94:02:7c:a1:61,,1,9,10,1,0,,2021-02354,2,3
1546,PF3CM5XF,4,5,S411大学院演習室,1706,84:a9:38:41:96:aa,c8:94:02:7c:a8:e1,2023/3/13 マザーボード交換,1,9,10,1,0,,2021-02355,2,3
1547,PF3BHMXA,4,5,S412大学院演習室,1707,84:a9:38:41:97:4a,c8:94:02:7c:9f:e1,,1,9,10,1,0,,2021-02356,2,3
1548,PF3B36Y2,12,4,開発作業室,2164,84:a9:38:41:98:5e,c8:94:02:7c:a1:1b,元n5kp2210でIP取得エラーにより回収（保守依頼で再現せず未修理で交換対応）,1,9,20,1,0,,2021-02236,2,3
1549,PF3B2NYA,7,3,5222演習室,1782,84:a9:38:69:3f:c8,c8:94:02:7d:3b:09,,1,9,10,1,0,,2021-02237,2,3
1550,PF3B3AYF,7,3,5223演習室,1783,84:a9:38:41:9e:b4,c8:94:02:7c:a8:f9,,1,9,10,1,0,,2021-02238,2,3
1551,PF3BHE70,7,3,5224演習室,1784,84:a9:38:41:92:64,c8:94:02:7c:a1:57,,1,9,10,1,0,,2021-02239,2,3
1552,PF3B3CXA,7,3,5225演習室,1785,84:a9:38:41:90:92,c8:94:02:7c:a7:a5,,1,9,10,1,0,,2021-02240,2,3
1553,PF3B30SE,7,3,5226演習室,1786,84:a9:38:41:99:90,c8:94:02:7c:9d:cf,,1,9,10,1,0,,2021-02241,2,3
1554,PF3BHQ4Q,7,3,5227演習室,1787,84:a9:38:41:a5:c0,c8:94:02:7c:a1:77,,1,9,10,1,0,,2021-02242,2,3
1555,PF3B391Y,7,3,5228演習室,1788,84:a9:38:41:98:60,c8:94:02:7c:9d:85,,1,9,10,1,0,,2021-02243,2,3
1556,PF3BHQ69,7,3,5229演習室,1789,84:a9:38:0d:92:e7,c8:94:02:7c:9f:e5,,1,9,10,1,0,,2021-02244,2,3
1557,PF3BHS9H,7,3,5230演習室,1790,84:a9:38:41:8f:76,c8:94:02:7c:a1:65,2023/4/21 マザーボード交換,1,9,10,1,0,,2021-02245,2,3
1558,PF3B2R0A,7,4,5301教室,1791,84:a9:38:0d:88:89,c8:94:02:7c:62:39,2022/07/04 マザーボード交換,1,9,10,1,0,,2021-02246,2,3
1559,PF3BL7LA,16,2,14104セミナー室,1658,84:a9:38:41:a2:c4,c8:94:02:7c:a0:d9,2022/11マザーボード交換,1,9,10,1,0,,2021-02247,2,3
1560,PF3B3F0G,16,2,14106セミナー室,1659,84:a9:38:41:a2:ce,c8:94:02:7c:9d:9d,,1,9,10,1,0,,2021-02248,2,3
1561,PF3BL7G4,7,4,5321演習室,1794,84:a9:38:41:a5:0c,c8:94:02:7c:a1:27,,1,9,10,1,0,,2021-02249,2,3
1562,PF3CM489,7,4,5322演習室,1795,6c:24:08:a1:99:02,c8:94:02:7c:9d:bb,2025/1/27, 2025/9/25 マザーボード交換,1,9,10,1,0,,2021-02250,2,3
1563,PF3B2YLW,7,4,5323演習室,1796,84:a9:38:41:98:56,c8:94:02:7c:9d:bf,,1,9,10,1,0,,2021-02251,2,3
1564,PF3BHG72,7,4,5324演習室,1797,84:a9:38:41:92:7a,c8:94:02:7d:9c:33,,1,9,10,1,0,,2021-02252,2,3
1565,PF3B2R21,7,5,5401教室,1798,84:a9:38:41:a5:54,c8:94:02:7d:74:e9,2023/2/21 マザーボード交換,1,9,10,1,0,,2021-02253,2,3
1566,PF3BJQSH,7,5,5402教室,1799,84:a9:38:41:a3:c8,c8:94:02:7c:a1:11,,1,9,10,1,0,,2021-02254,2,3
1567,PF3BHG9E,7,5,5403教室,1800,6c:24:08:a1:92:06,c8:94:02:7c:74:8f,2022/7/11 マザーボード交換,1,9,10,1,0,,2021-02255,2,3
1568,PF3BHSAV,7,5,5404教室,1801,84:a9:38:41:a1:32,c8:94:02:7c:a1:5f,,1,9,10,1,0,,2021-02256,2,3
1569,PF3B3AWY,7,5,5405教室,1802,84:a9:38:41:91:b8,c8:94:02:7c:9d:d5,,1,9,10,1,0,,2021-02257,2,3
1570,PF3B3CXR,16,2,14107セミナー室,1660,84:a9:38:41:a3:9e,c8:94:02:7c:a7:a7,,1,9,10,1,0,,2021-02258,2,3
1571,PF3BJJM0,12,4,開発作業室,2227,6c:24:08:a1:96:28,c8:94:02:7c:a1:0b,2022/7/7 マザーボード交換，25/1/31回収(元nekp1080）,1,9,10,1,0,,2021-02259,2,3
1580,PF3BHLNV,13,3,11201教室,1640,84:a9:38:41:91:c8,c8:94:02:7c:a1:7f,,1,9,10,1,0,,2021-02260,2,3
1581,PF3B30QT,13,3,11203教室,1665,84:a9:38:41:91:a6,c8:94:02:7c:9d:bd,,1,9,10,1,0,,2021-02261,2,3
1582,PF3B34MZ,13,3,11204演習室,1666,6c:24:08:a1:9c:0a,c8:94:02:7c:a8:f5,2022/9/21 マザーボード交換,1,9,10,1,0,,2021-02262,2,3
1583,PF3B3CW3,13,4,11301演習室,1769,84:a9:38:37:ff:e2,c8:94:02:7c:a8:fb,2025/9/25 マザーボード交換,1,9,10,1,0,,2021-02264,2,3
1584,PF3BHE5X,13,3,11205教室,1664,84:a9:38:41:a5:18,c8:94:02:7c:a1:51,,1,9,10,1,0,,2021-02263,2,3
1585,PF3B2T9F,13,4,11302演習室,1641,84:a9:38:41:98:4c,c8:94:02:7d:74:b9,,1,9,10,1,0,,2021-02265,2,3
1586,PF3BJNPE,13,4,11303演習室,1642,84:a9:38:41:8f:b2,c8:94:02:7c:a7:75,,1,9,10,1,0,,2021-02266,2,3
1587,PF3CM60S,13,4,11304教室,1643,84:a9:38:41:99:94,c8:94:02:7c:a0:dd,2022/07/04 マザーボード交換,1,9,10,1,0,,2021-02267,2,3
1588,PF3CM6XW,13,4,11305演習室,1770,84:a9:38:41:a3:ea,c8:94:02:7c:a1:5b,,1,9,10,1,0,,2021-02268,2,3
1589,PF3BJLR3,13,4,11306教室,1644,6c:24:08:a1:9b:68,c8:94:02:7c:a1:23,2022/8/2 マザーボード交換,1,9,10,1,0,,2021-02269,2,3
1590,PF3BL6E0,13,4,11307教室,1645,84:a9:38:38:00:4c,c8:94:02:7c:9d:9f,2022/7/11，2022/8/24，2023/4/25, 2025/12/17 マザーボード交換,1,9,10,1,0,,2021-02270,2,3
1591,PF3BJJJ6,13,4,11308教室,1646,84:a9:38:38:04:c8,c8:94:02:7c:a7:7d,2023/12/11 マザーボード交換,1,9,10,1,0,,2021-02271,2,3
1592,PF3BL6FE,13,4,11309演習室,1647,84:a9:38:41:a3:e6,c8:94:02:7c:a1:59,,1,9,10,1,0,,2021-02272,2,3
1593,PF3BHJBH,13,4,11310演習室,1648,6c:24:08:a1:9a:54,c8:94:02:7c:a8:65,2022/11/02 マザーボード交換,1,9,10,1,0,,2021-02273,2,3
1594,PF3BHMYK,13,5,11401演習室,1649,84:a9:38:38:02:26,c8:94:02:7c:a0:ff,,1,9,10,1,0,,2021-02274,2,3
1595,PF3CM490,13,5,11402演習室,1650,84:a9:38:41:a3:e0,c8:94:02:7c:9d:b9,,1,9,10,1,0,,2021-02275,2,3
1596,PF3BHLM5,13,5,11403教室,1651,84:a9:38:41:91:da,c8:94:02:7c:9f:e7,,1,9,10,1,0,,2021-02276,2,3
1597,PF3BJQWJ,13,5,11404演習室,1771,84:a9:38:41:a5:24,c8:94:02:7c:9d:d3,2023/9 マザーボード交換,1,9,10,1,0,,2021-02277,2,3
1598,PF3BJNR3,13,5,11405教室,1652,84:a9:38:38:ec:fa,c8:94:02:7c:9d:75,2023/6/6 マザーボード交換,1,9,10,1,0,,2021-02278,2,3
1599,PF3B38ZQ,13,5,11406教室,1653,84:a9:38:41:99:8c,c8:94:02:7c:a1:05,,1,9,10,1,0,,2021-02279,2,3
1600,PF3B390B,13,5,11407教室,1654,84:a9:38:41:98:64,c8:94:02:7c:a8:f7,,1,9,10,1,0,,2021-02280,2,3
1601,PF3B2R39,13,5,11408教室,1655,84:a9:38:41:98:70,c8:94:02:7d:74:b7,,1,9,10,1,0,,2021-02281,2,3
1602,PF3CM6YW,14,3,12201教室,1811,84:a9:38:41:a5:14,c8:94:02:7c:a1:55,,1,9,10,1,0,,2021-02282,2,3
1604,PF3BHG8K,14,4,12308教室,1813,84:a9:38:41:96:30,c8:94:02:7c:76:9f,,1,9,10,1,0,,2021-02284,2,3
1605,PF3BHE7J,14,4,12309教室,1814,84:a9:38:41:a5:28,c8:94:02:7c:a1:2b,,1,9,10,1,0,,2021-02285,2,3
1606,PF3BJLRZ,14,4,12303教室,1815,84:a9:38:41:91:d2,c8:94:02:7c:9d:59,,1,9,10,1,0,,2021-02286,2,3
1607,PF3B3EZV,14,4,12304教室,1816,84:a9:38:41:a3:b8,c8:94:02:7c:9d:77,,1,9,10,1,0,,2021-02287,2,3
1608,PF3BHE4N,14,4,12301演習室,1817,84:a9:38:41:a5:26,c8:94:02:7c:a1:6d,,1,9,10,1,0,,2021-02288,2,3
1609,PF3CM45W,14,4,12302演習室,1818,84:a9:38:41:a3:d2,c8:94:02:7c:9d:55,,1,9,10,1,0,,2021-02289,2,3
1610,PF3BJNRT,14,5,12405教室,1819,84:a9:38:41:a3:c6,c8:94:02:7c:a1:6f,マウスあり,1,9,10,1,0,,2021-02290,2,3
1611,PF3BHSCT,14,5,12409教室,1820,84:a9:38:41:a0:ac,c8:94:02:7c:a0:fd,,1,9,10,1,0,,2021-02291,2,3
1612,PF3BHJCW,14,5,12410教室,1821,84:a9:38:41:a5:2e,c8:94:02:7c:a1:5d,,1,9,10,1,0,,2021-02292,2,3
